Date,Time Only,Box Temp Arduino (C),Box Temp (C),Ambient Temperature (C),Humidity (%),Wind (m/s),Dust (mg/m^3),Irradiance (W/m2),Surface Temp (C),Irradiance with Coating,Irradiance without Coating,Surface-Temp with Coating (ºC),Surface-Temp without Coating (ºC),Max Pow without coating,Max Power with Coating,Max Power Main
11/07/2019,7:52,25.767935,44.526577,37.62416202,30.28808106,0.888311413,0.001815992,571.2356801,51.213076,364.234651,456.269886,54.510581,55.426827,3.399682,4.090736,45.438601
11/07/2019,8:07,26.582781,45.442727,42.55607158,25.09903771,2.635490574,0,646.0485002,49.506462,441.785202,553.926136,53.549397,52.543276,3.691796,4.562129,52.757038
11/07/2019,8:21,26.990204,46.86785,44.57688646,26.83971771,1.452251563,0,663.6624793,54.341869,410.190533,527.292614,60.566037,58.887088,4.148273,4.597204,60.951076
11/07/2019,8:37,27.703194,47.784001,48.63677545,28.16175602,1.902084108,0.000346197,677.9708306,57.565473,413.062776,516.935133,61.815576,61.290047,4.099581,4.815241,63.735034
11/07/2019,8:51,29.027319,48.903741,45.36590758,22.06484654,0.348557504,0.00419367,687.4936505,57.660285,474.815993,630.867424,58.835907,55.907419,4.464339,4.8981,69.162849
11/07/2019,9:07,29.536598,49.005535,44.49885369,27.7776445,1.468325537,0.000417189,695.9706241,59.177275,428.86011,617.550663,64.026298,59.752153,4.76879,5.03962,74.145667
11/07/2019,9:21,30.555156,50.939631,50.17550594,26.22402754,2.042682043,0.003414904,670.9985648,62.590504,443.221324,675.256629,64.50689,61.09781,4.784751,5.178691,76.18424
11/07/2019,9:37,32.082992,50.939631,49.71324844,11.10089216,2.136174784,0,686.4929016,62.780127,408.754412,604.233902,66.909849,62.443467,4.473393,5.053759,72.166282
11/07/2019,9:52,32.286704,52.161165,46.466217,16.32688797,2.056461041,0.001289586,684.1508642,56.806978,403.009926,533.211174,61.911694,61.290047,4.488323,5.071727,74.363852
11/07/2019,10:07,32.592271,52.364754,47.33613658,28.88524272,0.748521568,0,695.0292074,53.39375,473.379871,601.274621,57.778605,58.406496,4.538944,5.085788,71.317215
11/07/2019,10:21,32.999694,52.873726,52.61370404,25.13675993,0.008666399,0.001205694,756.3488397,59.272087,520.771875,666.378788,62.584523,61.962875,4.726195,5.090454,72.395764
11/07/2019,10:36,33.508973,53.789877,53.09717524,13.59964685,2.126012233,0.000740743,728.6084344,61.737197,446.093566,604.233902,64.891363,61.290047,4.888767,5.233971,79.657246
11/07/2019,10:51,34.120108,53.789877,50.71712895,18.77261807,1.317572848,0,715.8029941,63.254187,421.679504,584.99858,69.024453,63.116296,4.870162,5.207801,76.923343
11/07/2019,11:07,34.833098,54.807822,49.31866025,29.39568946,2.138083711,0.001717333,711.7389845,58.229157,408.754412,584.99858,65.275837,62.155112,4.660655,4.973162,76.304265
